# rawpaco: FPC RTL/FCL symbol table
# DO NOT EDIT BY HAND. Regenerate with: bash tools/gen_fpc_symbols.sh
# fpc-version: 3.2.2
# generated-from-target: x86_64-linux
# ppu-root: /usr/lib/x86_64-linux-gnu/fpc/3.2.2/units/x86_64-linux
# source-root: /usr/share/fpcsrc/3.2.2
#
# Format (tab separated):
#   U <unit> <strict|loose>   ... start of a unit block
#   G <name> <D|.> <message>  ... unit-level public symbol (D = deprecated)
#   M <name>                  ... other known name (class member, platform-only, ...)
U	system	loose
G	RT_BITMAP	.	
G	RT_CURSOR	.	
G	RT_DIALOG	.	
G	RT_FONT	.	
G	RT_FONTDIR	.	
G	RT_GROUP_CURSOR	.	
G	RT_GROUP_ICON	.	
G	RT_HTML	.	
G	RT_ICON	.	
G	RT_MANIFEST	.	
G	RT_MENU	.	
G	RT_MESSAGETABLE	.	
G	RT_RCDATA	.	
G	RT_STRING	.	
G	RT_VERSION	.	
G	RaiseList	.	
G	RaiseMaxFrameCount	.	
G	RaiseProc	.	
G	RandSeed	.	
G	Random	.	
G	Randomize	.	
G	RawByteString	.	
G	ReAllocMem	.	
G	ReAllocMemory	.	
G	Read	.	
G	ReadBarrier	.	
G	ReadDependencyBarrier	.	
G	ReadLn	.	
G	ReadStr	.	
G	ReadWriteBarrier	.	
G	Real	.	
G	Real2Double	.	
G	Real48	.	
G	ReleaseExceptionObject	.	
G	Rename	.	
G	Reset	.	
G	ResumeThread	.	
G	ReturnNilIfGrowHeapFails	.	
G	Rewrite	.	
G	RmDir	.	
G	RolByte	.	
G	RolDWord	.	
G	RolQWord	.	
G	RolWord	.	
G	RorByte	.	
G	RorDWord	.	
G	RorQWord	.	
G	RorWord	.	
G	Round	.	
G	RunError	.	
G	RuntimeErrorExitCodes	.	
G	SPtr	.	
G	SSeg	.	
G	S_FALSE	.	
G	S_OK	.	
G	SafeCallErrorProc	.	
G	SafeLoadLibrary	.	
G	SarInt64	.	
G	SarLongint	.	
G	SarShortint	.	
G	SarSmallint	.	
G	Seek	.	
G	SeekEOF	.	
G	SeekEOLn	.	
G	Seg	.	
G	Set8087CW	.	
G	SetCodePage	.	
G	SetDynLibsManager	.	
G	SetLength	.	
G	SetMXCSR	.	
G	SetMemoryManager	.	
G	SetMultiByteConversionCodePage	.	
G	SetMultiByteFileSystemCodePage	.	
G	SetMultiByteRTLFileSystemCodePage	.	
G	SetResourceManager	.	
G	SetSSECSR	D	Renamed to SetMXCSR
G	SetString	.	
G	SetTextBuf	.	
G	SetTextCodePage	.	
G	SetTextLineEnding	.	
G	SetThreadDebugName	.	
G	SetThreadManager	.	
G	SetUnicodeStringManager	.	
G	SetVariantManager	.	
G	SetWideStringManager	.	
G	SharedSuffix	.	
G	ShortCompareText	.	
G	ShortInt	.	
G	ShortString	.	
G	Sin	.	
G	Single	.	
G	SizeInt	.	
G	SizeOf	.	
G	SizeUInt	.	
G	SizeofResource	.	
G	Slice	.	
G	SmallInt	.	
G	Space	.	
G	Sqr	.	
G	Sqrt	.	
G	StackBottom	.	
G	StackError	.	
G	StackLength	.	
G	StackTop	.	
G	StdErr	.	
G	StdErrorHandle	.	
G	StdInputHandle	.	
G	StdOut	.	
G	StdOutputHandle	.	
G	Str	.	
G	StrLen	.	
G	StrPas	.	
G	StringCodePage	.	
G	StringElementSize	.	
G	StringOfChar	.	
G	StringRefCount	.	
G	StringToPPChar	.	
G	StringToUnicodeChar	.	
G	StringToWideChar	.	
G	Succ	.	
G	SuspendThread	.	
G	Swap	.	
G	SwapEndian	.	
G	SysAllocMem	.	
G	SysAssert	.	
G	SysBacktraceStr	.	
G	SysFlushStdIO	.	
G	SysFreemem	.	
G	SysFreememSize	.	
G	SysGetFPCHeapStatus	.	
G	SysGetHeapStatus	.	
G	SysGetmem	.	
G	SysInitExceptions	.	
G	SysInitFPU	.	
G	SysInitStdIO	.	
G	SysMemSize	.	
G	SysReAllocMem	.	
G	SysResetFPU	.	
G	SysSetCtrlBreakHandler	.	
G	SysTryResizeMem	.	
G	TAbstractErrorProc	.	
G	TAggregatedObject	.	
G	TAllocateThreadVarsHandler	.	
G	TAnsiChar	.	
G	TAssertErrorProc	.	
G	TBacktraceStrFunc	.	
G	TBasicEventCreateHandler	.	
G	TBasicEventHandler	.	
G	TBasicEventWaitForHandler	.	
G	TBeginThreadHandler	.	
G	TBoundArray	.	
G	TClass	.	
G	TCompareOption	.	
G	TCompareOptions	.	
G	TContainedObject	.	
G	TCriticalSectionHandler	.	
G	TCriticalSectionHandlerTryEnter	.	
G	TCtrlBreakHandler	.	
G	TDate	.	
G	TDateTime	.	
G	TDoubleRec	.	
G	TDynLibsManager	.	
G	TEndThreadHandler	.	
G	TEntryInformation	.	
G	TEntryInformationOS	.	
G	TError	.	
G	TErrorProc	.	
G	TExceptAddr	.	
G	TExceptObject	.	
G	TExceptProc	.	
G	TExtended80Rec	.	
G	TFPCHeapStatus	.	
G	TFPResourceHGLOBAL	.	
G	TFPResourceHMODULE	.	
G	TFPResourceHandle	.	
G	TFPUException	.	
G	TFPUExceptionMask	.	
G	TFPUPrecisionMode	.	
G	TFPURoundingMode	.	
